Year,Sex,State,Number of students at primary level
2021,Male,Kelantan,87567
2021,Male,Melaka,43955
2021,Male,Negeri Sembilan,55378
2021,Male,Pahang,77120
2021,Male,Pulau Pinang,66687
2021,Male,Perak,103371
2021,Male,Perlis,12483
2021,Male,Selangor ,279424
2021,Male,Terengganu,67917
2021,Male,Sabah ,150804
2021,Male,Sarawak,123695
2021,Male,W.P. Kuala Lumpur,67672
2021,Male,W.P. Labuan,5100
2021,Male,W.P. Putrajaya,10984
2021,Female,Malaysia,1346898
2021,Female,Johor,161241
2021,Female,Kedah,92702
2021,Female,Kelantan,83996
2021,Female,Melaka,41478
2021,Female,Negeri Sembilan,52223
2021,Female,Pahang,73551
2021,Female,Pulau Pinang,63760
2021,Female,Perak,97663
2021,Female,Perlis,11692
2021,Female,Selangor ,265662
2021,Female,Terengganu,64922
2021,Female,Sabah ,141384
2021,Female,Sarawak,115678
2021,Female,W.P. Kuala Lumpur,65576
2021,Female,W.P. Labuan,4764
2021,Female,W.P. Putrajaya,10606
